Thickness (Âµm),Emissivity
10.0,0.9468895177976154
20.0,0.9384394330708636
30.0,0.9306118917123699
40.0,0.923397492769586
50.0,0.9164347442916605
60.0,0.9098532401594346
70.0,0.9017601055947949
80.0,0.8968866087050115
90.0,0.8911514447273869
100.0,0.886477471517021
110.0,0.8797730807934765
120.0,0.8751693899505786
130.0,0.8698864664029684
140.0,0.8636032404848382
150.0,0.8591374673880525
160.0,0.8557834238944239
170.0,0.850440529530079
180.0,0.8458239277421769
190.0,0.8425636653491787
200.0,0.8375556688111868
